130,2.6403,7.5330,4.0058,7.7947,3.3333,6.0874,5.4387
131,2.5157,7.1887,4.2216,6.2409,3.8342,4.7101,6.2089
132,6.6445,9.4449,5.7342,10.6987,6.4135,6.7267,7.2428
133,5.2582,8.1812,5.6604,6.5421,6.1821,7.3539,7.0757
134,1.2717,8.0109,4.5745,6.1516,3.2411,5.8442,5.4712
135,3.4200,8.9645,5.0700,11.6998,6.4685,6.9378,6.3102
137,3.9185,7.3791,3.8144,7.6692,4.8606,4.9096,6.0435
139,2.2166,5.9353,4.4785,6.0842,4.3553,4.4667,6.0432
141,4.7319,5.3529,3.5495,7.3409,3.9088,4.8717,4.6175
142,2.7027,5.7377,3.8846,4.5855,4.4804,5.0079,5.4705
143,3.8810,7.0175,3.9801,7.0957,5.2314,5.3775,6.1463
144,3.3389,6.8520,3.6804,5.3004,5.6361,4.9515,5.0083
145,4.1195,6.5517,4.7972,8.0460,7.0962,6.2611,5.9666
147,3.8873,7.7193,3.2715,9.8394,5.3254,6.3646,5.8880
148,0.0000,0.0000,0.0000,0.0000,0.0000
149,5.5504,6.6832,2.5431,10.6426,6.4161,4.1435,6.0205
150,1.7186,3.1835,0.7839,2.7682,2.4382,2.6791,2.0854
151,4.7207,6.8196,3.9808,6.6940,6.7416,6.2815,5.4451
152,2.8103,4.2189,0.9134,5.2339,3.9195,4.0978,3.9594
154,1.1514,4.0299,1.7667,4.1702,2.8854,3.1756,2.2114
155,4.2090,8.1100,5.7604,9.3870,6.2449,6.1810,7.5199
156,4.7319,7.2750,4.7771,9.6457,7.4297,6.2077,7.1465
157,4.5633,6.3241,5.5599,8.2000,6.9533,6.7777,8.1260
158,3.8437,6.5089,3.3747,5.2863,4.3746,4.9955,5.2381
236,2.7104,6.3794,4.5703,8.5670,5.6967,5.0238,5.9917
244,3.4675,5.4172,3.4626,6.2918,3.3827,5.0238,5.1221
245,5.2142,5.2500,5.0549,5.5846,4.5361,7.0303,5.4577
246,2.3481,6.6838,4.3564,3.5985,6.9339,5.7773,5.8824
247,6.6890,7.1166,4.7664,9.2885,5.0298,4.8270,6.0593
248,4.5290,6.6463,3.1405,6.3470,3.7879,5.2581,5.3819
254,3.2562,8.0229,5.0060,6.5152,3.8172,3.8936,6.7756
